file,numCands,plurality,IRV,top-two,borda-pm,borda-om-no-uwi,borda-avg-no-uwi,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval,top4_plurality,top4_IRV,top4_top-two,top4_borda-pm,top4_borda-om-no-uwi,top4_borda-avg-no-uwi,top4_top-3-truncation,top4_condorcet,top4_minimax,top4_smith_plurality,top4_smith_irv,top4_smith-minimax,top4_ranked-pairs,top4_bucklin,top4_approval
raw_data/australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Brighton with candidates.csv,10,['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury'],['James Newbury']
raw_data/australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Northcote with candidates.csv,12,['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Campbell Gome'],['Campbell Gome'],['Campbell Gome'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Campbell Gome'],['Campbell Gome'],['Campbell Gome'],['Campbell Gome'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Kat Theophanous'],['Campbell Gome'],['Kat Theophanous']
raw_data/australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,9,['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['Melissa Lowe'],['Melissa Lowe'],['Melissa Lowe'],['Melissa Lowe'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['John Pesutto'],['Melissa Lowe'],['John Pesutto']
raw_data/australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Preston with Candidates.csv,11,['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Nathan Lambert'],['Patchouli Paterson'],['Nathan Lambert']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Ballina-mayoral-finalpreferencedatafile (1).csv,6,['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon'],['CADWALLADER Sharon']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/The_Hills_Shire-mayoral-finalpreferencedatafile.csv,6,['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter'],['GANGEMI Peter']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Nambucca_Valley-mayoral-finalpreferencedatafile.csv,3,['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda'],['HOBAN Rhonda']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,7,['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover'],['MOORE Clover']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,11,['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul'],['AMOS Paul']
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,7,['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve'],['KRIEG Steve']
