voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
0,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
1,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
2,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
3,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
4,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
5,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
6,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
7,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
8,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
9,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
10,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
11,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
12,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
13,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
14,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
15,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
16,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
17,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
18,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
19,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
20,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
21,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
22,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
23,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
24,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
25,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
26,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
27,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
28,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
29,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
30,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
31,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
32,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
33,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
34,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
35,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
36,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
37,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
38,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
39,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
40,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
41,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
42,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
43,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
44,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
45,Rhona BROCK (Ind),skipped,skipped,skipped,skipped,skipped,3
