voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,Russell AULD (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
1,Russell AULD (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
2,Russell AULD (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
3,Russell AULD (LD),Sandy MILLER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
4,Russell AULD (LD),Sandy MILLER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
5,Sandy MILLER (SNP),Willie ROBERTSON (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
6,Joe GIACOPAZZI (SNP),Willie ROBERTSON (LD),Simon Edwin BRAMWELL (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,9
7,Joe GIACOPAZZI (SNP),Willie ROBERTSON (LD),Simon Edwin BRAMWELL (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,9
8,Willie ROBERTSON (LD),Mike BARNACLE (Ind),Donald FRASER (Grn),Dave CUTHBERT (Ind),Kathleen BAIRD (Con),Sandy MILLER (SNP),Simon Edwin BRAMWELL (Lab),skipped,skipped,,9
9,Willie ROBERTSON (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
10,Willie ROBERTSON (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
11,Willie ROBERTSON (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
12,Willie ROBERTSON (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
13,Willie ROBERTSON (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
14,Willie ROBERTSON (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
15,Willie ROBERTSON (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
16,Willie ROBERTSON (LD),Joe GIACOPAZZI (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
17,Willie ROBERTSON (LD),Sandy MILLER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
18,Willie ROBERTSON (LD),Sandy MILLER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
19,Willie ROBERTSON (LD),Sandy MILLER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
20,Willie ROBERTSON (LD),Sandy MILLER (SNP),Mike BARNACLE (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,9
21,Willie ROBERTSON (LD),Joe GIACOPAZZI (SNP),Mike BARNACLE (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,9
22,Willie ROBERTSON (LD),Joe GIACOPAZZI (SNP),Donald FRASER (Grn),skipped,skipped,skipped,skipped,skipped,skipped,,9
23,Willie ROBERTSON (LD),Simon Edwin BRAMWELL (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
24,Willie ROBERTSON (LD),Simon Edwin BRAMWELL (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
