voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
1,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
2,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
3,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
4,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
5,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
6,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
8,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
9,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
10,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
11,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
12,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
13,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
14,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
15,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
16,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
17,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
18,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
19,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
20,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
21,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
22,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
23,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
24,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
25,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
26,Scott AGNEW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
27,Scott AGNEW (Alba),Naveed ALI (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
28,Scott AGNEW (Alba),Naveed ALI (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
29,Scott AGNEW (Alba),Naveed ALI (Con),George MCIRVINE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,9
30,Scott AGNEW (Alba),Naveed ALI (Con),Wayne SCOTT (Soc),skipped,skipped,skipped,skipped,skipped,skipped,,9
31,Scott AGNEW (Alba),Naveed ALI (Con),Heather ANDERSON (SNP),Jenny BLAIN (LD),Tanya JONES (Grn),Wayne SCOTT (Soc),Helen WRIGHT (Lab),skipped,skipped,,9
32,Scott AGNEW (Alba),Naveed ALI (Con),Jenny BLAIN (LD),Tanya JONES (Grn),Heather ANDERSON (SNP),skipped,skipped,skipped,skipped,,9
33,Scott AGNEW (Alba),Naveed ALI (Con),Jenny BLAIN (LD),Heather ANDERSON (SNP),George MCIRVINE (Lab),Tanya JONES (Grn),Wayne SCOTT (Soc),skipped,skipped,,9
34,Scott AGNEW (Alba),Naveed ALI (Con),Tanya JONES (Grn),skipped,skipped,skipped,skipped,skipped,skipped,,9
35,Scott AGNEW (Alba),Naveed ALI (Con),Tanya JONES (Grn),Jenny BLAIN (LD),Helen WRIGHT (Lab),Heather ANDERSON (SNP),Wayne SCOTT (Soc),skipped,skipped,,9
36,Scott AGNEW (Alba),Naveed ALI (Con),Mark FLYNN (SNP),Tanya JONES (Grn),Jenny BLAIN (LD),Wayne SCOTT (Soc),Helen WRIGHT (Lab),skipped,skipped,,9
37,Scott AGNEW (Alba),George MCIRVINE (Lab),Naveed ALI (Con),skipped,skipped,skipped,skipped,skipped,skipped,,9
38,Scott AGNEW (Alba),George MCIRVINE (Lab),Wayne SCOTT (Soc),skipped,skipped,skipped,skipped,skipped,skipped,,9
39,Scott AGNEW (Alba),George MCIRVINE (Lab),Mark FLYNN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,9
40,Scott AGNEW (Alba),George MCIRVINE (Lab),Mark FLYNN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,9
41,Scott AGNEW (Alba),George MCIRVINE (Lab),Jenny BLAIN (LD),skipped,skipped,skipped,skipped,skipped,skipped,,9
42,Scott AGNEW (Alba),Helen WRIGHT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
43,Scott AGNEW (Alba),Helen WRIGHT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
44,Scott AGNEW (Alba),Helen WRIGHT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
45,Scott AGNEW (Alba),Helen WRIGHT (Lab),Wayne SCOTT (Soc),Jenny BLAIN (LD),Heather ANDERSON (SNP),Tanya JONES (Grn),Naveed ALI (Con),skipped,skipped,,9
46,Scott AGNEW (Alba),Helen WRIGHT (Lab),Jenny BLAIN (LD),skipped,skipped,skipped,skipped,skipped,skipped,,9
47,Scott AGNEW (Alba),George MCIRVINE (Lab),Tanya JONES (Grn),skipped,skipped,skipped,skipped,skipped,skipped,,9
48,Scott AGNEW (Alba),George MCIRVINE (Lab),Heather ANDERSON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,9
49,Scott AGNEW (Alba),George MCIRVINE (Lab),Heather ANDERSON (SNP),Jenny BLAIN (LD),skipped,skipped,skipped,skipped,skipped,,9
50,Scott AGNEW (Alba),Wayne SCOTT (Soc),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
51,Scott AGNEW (Alba),Wayne SCOTT (Soc),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
52,Scott AGNEW (Alba),Wayne SCOTT (Soc),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
53,Scott AGNEW (Alba),Wayne SCOTT (Soc),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
54,Scott AGNEW (Alba),Wayne SCOTT (Soc),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
55,Scott AGNEW (Alba),Wayne SCOTT (Soc),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
56,Scott AGNEW (Alba),Wayne SCOTT (Soc),Helen WRIGHT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,9
